"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\NewDashboard\client\build\asset-manifest.json", "JSON", 27, 0, 0, 0, 0, 0, 27
"e:\NewDashboard\client\build\firebase-messaging-sw.js", "JavaScript", 0, 0, 39, 0, 10, 8, 57
"e:\NewDashboard\client\build\index.html", "HTML", 0, 1, 0, 0, 0, 0, 1
"e:\NewDashboard\client\build\manifest.json", "JSON", 26, 0, 0, 0, 0, 1, 27
"e:\NewDashboard\client\build\precache-manifest.d6136d8bcf8b6a34857f60c7c81f4999.js", "JavaScript", 0, 0, 38, 0, 0, 0, 38
"e:\NewDashboard\client\build\service-worker.js", "JavaScript", 0, 0, 15, 0, 17, 8, 40
"e:\NewDashboard\client\build\static\css\2.64b0dc94.chunk.css", "CSS", 0, 0, 0, 2, 7, 1, 10
"e:\NewDashboard\client\build\static\css\main.7adda888.chunk.css", "CSS", 0, 0, 0, 2, 1, 0, 3
"e:\NewDashboard\client\build\static\js\2.e3c6111f.chunk.js", "JavaScript", 0, 0, 1, 0, 2, 0, 3
"e:\NewDashboard\client\build\static\js\main.3bd1abcc.chunk.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"e:\NewDashboard\client\build\static\js\runtime-main.09b85ec0.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"Total", "-", 53, 1, 95, 4, 39, 18, 210